country,country_url,province,province_url,city,city_url
Canada,https://www.yellowpages.ca/locations/,Manitoba,https://www.yellowpages.ca/locations/Manitoba,Zhoda,https://www.yellowpages.ca/locations/Manitoba/Zhoda/
Canada,https://www.yellowpages.ca/locations/,British Columbia,https://www.yellowpages.ca/locations/British-Columbia,Zeballos,https://www.yellowpages.ca/locations/British-Columbia/Zeballos/
Canada,https://www.yellowpages.ca/locations/,Alberta,https://www.yellowpages.ca/locations/Alberta,Zama City,https://www.yellowpages.ca/locations/Alberta/Zama+City/
Canada,https://www.yellowpages.ca/locations/,Saskatchewan,https://www.yellowpages.ca/locations/Saskatchewan,Zealandia,https://www.yellowpages.ca/locations/Saskatchewan/Zealandia/
Canada,https://www.yellowpages.ca/locations/,Saskatchewan,https://www.yellowpages.ca/locations/Saskatchewan,Zehner,https://www.yellowpages.ca/locations/Saskatchewan/Zehner/
Canada,https://www.yellowpages.ca/locations/,Saskatchewan,https://www.yellowpages.ca/locations/Saskatchewan,Zenon Park,https://www.yellowpages.ca/locations/Saskatchewan/Zenon+Park/
Canada,https://www.yellowpages.ca/locations/,Quebec,https://www.yellowpages.ca/locations/Quebec,Yamachiche,https://www.yellowpages.ca/locations/Quebec/Yamachiche/
Canada,https://www.yellowpages.ca/locations/,Quebec,https://www.yellowpages.ca/locations/Quebec,Yamaska,https://www.yellowpages.ca/locations/Quebec/Yamaska/
Canada,https://www.yellowpages.ca/locations/,Quebec,https://www.yellowpages.ca/locations/Quebec,Yamaska-East,https://www.yellowpages.ca/locations/Quebec/Yamaska-East/
Canada,https://www.yellowpages.ca/locations/,Ontario,https://www.yellowpages.ca/locations/Ontario,Zephyr,https://www.yellowpages.ca/locations/Ontario/Zephyr/
Canada,https://www.yellowpages.ca/locations/,Ontario,https://www.yellowpages.ca/locations/Ontario,Zurich,https://www.yellowpages.ca/locations/Ontario/Zurich/
Canada,https://www.yellowpages.ca/locations/,Newfoundland and Labrador,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador,York Harbour,https://www.yellowpages.ca/locations/Newfoundland-and-Labrador/York+Harbour/
Canada,https://www.yellowpages.ca/locations/,Nova Scotia,https://www.yellowpages.ca/locations/Nova-Scotia,Victoria Mines,https://www.yellowpages.ca/locations/Nova-Scotia/Victoria+Mines/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Whale Cove,https://www.yellowpages.ca/locations/Nunavut/Whale+Cove/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Taloyoak,https://www.yellowpages.ca/locations/Nunavut/Taloyoak/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Repulse Bay,https://www.yellowpages.ca/locations/Nunavut/Repulse+Bay/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Resolute,https://www.yellowpages.ca/locations/Nunavut/Resolute/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Qikiqtarjuaq,https://www.yellowpages.ca/locations/Nunavut/Qikiqtarjuaq/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Pangnirtung,https://www.yellowpages.ca/locations/Nunavut/Pangnirtung/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Polaris,https://www.yellowpages.ca/locations/Nunavut/Polaris/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Pond Inlet,https://www.yellowpages.ca/locations/Nunavut/Pond+Inlet/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Kugaaruk,https://www.yellowpages.ca/locations/Nunavut/Kugaaruk/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Igloolik,https://www.yellowpages.ca/locations/Nunavut/Igloolik/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Hall Beach,https://www.yellowpages.ca/locations/Nunavut/Hall+Beach/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Gjoa Haven,https://www.yellowpages.ca/locations/Nunavut/Gjoa+Haven/
Canada,https://www.yellowpages.ca/locations/,Nunavut,https://www.yellowpages.ca/locations/Nunavut,Grise Fiord,https://www.yellowpages.ca/locations/Nunavut/Grise+Fiord/
